End_Lat,End_Lng
40.11206,-83.03187
39.86501,-84.04873
39.10209,-84.52396
39.09841,-84.52241
41.06217,-81.53547
39.170476,-84.501798
39.06731,-84.05851
39.06302,-84.03254
39.77275,-84.18805
41.36786,-81.82174
40.69911,-84.084293
40.11078,-82.984
39.19615,-84.47335
39.13977,-84.5343
41.47388,-81.70559
39.603013,-83.637319
40.151747,-81.312682
40.151785,-81.312635
39.98529,-82.85667
39.9725,-82.84746
40.01228,-82.99218
41.666124,-83.566335
40.98982,-85.26986
39.03475,-84.60007
40.02246,-82.99515
39.86441,-84.21554
39.14745,-84.53923
39.30457,-85.96284
39.76485,-84.09274
39.97609,-83.11068
39.58444,-85.82301
39.45279,-85.628
39.36277,-85.51655
39.74883,-84.13402
39.26867,-81.49909
39.86025,-85.96623
41.95939,-83.67235
38.28558,-85.75518
41.95939,-83.67235
40.5283,-80.07188
40.48614,-80.009008
40.153321,-83.018205
41.47023,-81.74188
41.06193,-81.54149
40.35429,-85.14993
40.45112,-85.15048
39.74408,-85.13749
39.75855,-85.13715
39.976605,-83.021071
40.74559,-84.78962
39.85227,-85.26282
41.47442,-81.71182
41.84149,-80.11099
39.75052,-84.20541
39.71767,-84.21632
39.73167,-84.2058
41.715052,-84.951306
40.06376,-82.99679
38.18104,-85.72116
38.20648,-85.82785
38.27191,-85.80838
39.93844,-82.84829
41.036015,-81.579895
39.93271,-83.61197
41.858231,-80.176444
39.89923,-82.90135
39.00263,-80.22647
38.96911,-80.11072
41.66553,-83.56532
41.47692,-81.66075
41.50311,-81.47745
39.72395,-82.9867
41.71039,-81.17253
41.66819,-81.25265
41.4453,-81.77379
39.76697,-84.19893
41.49859,-81.48381
40.020034,-80.175188
38.39031,-81.76928
41.04078,-81.61203
41.47442,-81.71182
41.62873,-84.80369
41.62866,-84.80562
41.15666,-81.78646
41.735609,-84.982632
41.62866,-84.80562
39.74876,-84.20146
41.411,-81.66885
41.42192,-81.8429
38.80878,-84.49638
38.79691,-84.48273
38.30011,-85.84846
38.33614,-81.65623
38.33667,-81.65623
41.10186,-81.59001
41.119121,-85.189639
38.806587,-80.662776
40.05456,-83.03166
41.36828,-81.51647
39.1765,-84.48757
39.75424,-84.15598
39.1765,-84.48757
41.11921,-81.63658
38.33667,-81.65623
41.10123,-81.50007
39.16359,-84.44952
40.1123,-83.03781
38.32946,-85.75373
39.10414,-84.50438
41.47391,-81.703564
41.039994,-81.565332
41.73569,-84.99399
39.27422,-84.44023
41.4716,-81.81916
41.25666,-81.63157
40.58919,-80.09885
41.06203,-81.504711
41.06247,-81.51023
39.1737,-84.49092
38.34442,-81.61366
41.4743,-81.69724
40.58919,-80.09885
41.41367,-81.64345
39.25414,-84.44331
39.29005,-84.39123
41.46866,-81.95449
41.5525,-81.60025
39.01946,-84.62035
39.74733,-84.21301
39.89642,-83.04687
39.19334,-84.47698
39.22518,-84.45309
39.15524,-84.44117
39.97033,-82.98413
40.529455,-80.03507
40.535447,-80.03596
41.49495,-81.68196
41.0634,-81.49079
39.75052,-84.20541
41.46866,-81.95449
41.96429,-83.35018
41.19189,-80.24637
40.42642,-85.54938
39.97527,-85.14018
40.42642,-85.54938
40.27678,-85.55806
39.98264,-85.14302
41.16722,-83.6497
39.09875,-84.52119
38.879317,-84.62519
39.77093,-84.1928
40.503456,-80.139196
41.19661,-80.16752
39.058008,-84.35856
41.669943,-83.693369
40.53024,-80.00957
40.53024,-80.00957
40.04638,-82.99752
40.4342,-79.99635
41.4258,-81.75658
39.45279,-85.628
39.84037,-85.55421
40.03833,-85.71948
39.864781,-84.202359
40.03744,-85.72343
39.82115,-85.77004
40.12519,-79.95815
40.4342,-79.99635
40.12519,-79.95815
40.12519,-79.95815
39.97418,-83.00344
39.95928,-83.04736
39.67907,-85.96786
38.48923,-85.77188
38.33649,-85.81712
39.97825,-83.02147
38.54355,-85.7781
38.18104,-85.72116
39.89356,-83.04101
41.39469,-85.28893
41.39546,-85.32855
41.90569,-83.36915
40.80059,-84.61374
40.77137,-84.62203
39.89356,-83.04101
40.80059,-84.61374
40.78593,-84.61787
41.67274,-83.57252
41.4696,-81.81106
38.31053,-85.75245
39.12338,-84.53557
41.81755,-85.32291
41.80143,-85.34888
41.35535,-81.81927
39.34107,-84.39895
39.825024,-83.151338
38.82415,-85.63794
38.824929,-85.474495
40.600487,-85.150502
40.593244,-85.150017
41.18483,-80.45009
40.56744,-85.14993
40.55267,-85.14974
40.29145,-81.55699
39.94348,-82.40391
39.98407,-83.11864
40.61824,-80.09567
40.11218,-83.02084
41.06472,-81.50414
39.972875,-85.965902
39.97368,-83.0835
40.11218,-83.02084
40.00631,-82.87275
39.99008,-85.92858
41.31438,-81.51325
41.12401,-80.677376
41.11928,-80.6912
40.05456,-83.03166
41.11882,-80.69266
38.11748,-85.760353
41.42336,-81.64497
38.61838,-80.75247
41.11882,-80.69266
39.94916,-82.94373
41.06268,-81.51988
40.1119,-83.01663
39.875819,-83.051608
40.05188,-83.03257
41.13,-85.15408
41.18004,-85.1033
38.12853,-83.74765
41.63548,-83.54284
39.15228,-84.5412
40.96051,-85.34522
40.9605,-85.3528
41.08156,-80.64523
41.6217,-83.54185
38.411198,-82.349767
41.67571,-83.69385
